申请时间,用户ID,认证年,认证月,认证日,身份证是否存在,是否认证,是否电话认证,认证间隔时间,银行卡数量,储蓄卡比例,信用卡比例,性别,年龄,订单总额,均值,标准差,预留不同电话数量,贷款次数
2017/3/31 8:48,A143705127251877295,2016,9,26,0,1,1,186,3,0.66666666,0.33333333,1,54,1525.3,89.7235294,53.1816172,3,5
2017/4/21 9:59,A399876706677724414,2016,10,13,0,1,0,190,1,1,0,0,44,11158.9,507.222727,743.613629,5,1
2017/4/13 22:59,A133371293640012618,2016,8,15,1,1,0,241,1,1,0,1,47,6556,2185.33333,476.403540,2,5
2017/4/5 15:35,A263383069335724104,2016,11,28,0,1,1,128,1,1,0,0,26,272,136,43.8406204,5,2
2017/3/4 19:23,A354289103982792862,2017,7,20,1,1,1,-138,3,0.33333333,0.66666666,0,44,6932.65,144.430208,184.275803,1,5
2017/4/16 12:50,A525165258200046775,2016,11,25,0,1,1,142,1,1,0,0,60,2616.9,872.3,1408.45289,4,5
2017/2/19 19:05,A485134263795667202,2016,3,25,1,1,0,331,2,0.5,0.5,0,64,8577.7,225.728947,148.424850,3,4
2017/2/21 18:01,A479459699963989102,2015,11,19,1,1,0,460,2,0.66666666,0.33333333,0,27,32116.14,300.150841,661.209642,3,4
2016/8/24 21:16,A117882462584188764,2016,1,28,1,1,1,209,3,0.66666666,0.33333333,1,32,17078.74,176.069484,292.765165,1,4
2017/3/6 15:03,A793455896475057485,2015,10,29,1,1,0,494,1,1,0,1,60,41511.8,1153.10555,919.085412,1,4
2017/3/12 16:13,A698992772193491427,2016,12,25,0,1,1,77,1,1,0,1,45,288,144,134.350288,2,3
2017/3/4 13:05,A679590476378114198,2017,1,2,1,1,0,61,2,0.5,0.5,1,65,212,106,24.0416305,5,5
2017/4/4 20:30,A920380718982418709,2017,6,24,0,1,1,-81,2,0.5,0.5,1,51,72590.4,359.358415,525.747141,1,5
2017/3/11 11:20,A742169971062309821,2016,7,21,1,1,1,233,1,1,0,1,49,29085,4847.5,1049.99119,1,1
2016/4/12 14:34,A524993660060241077,2017,9,11,1,1,1,-517,4,1,0,1,30,270,135,0,1,5
2017/3/26 12:38,A475645220671271687,2016,7,14,1,1,1,255,2,0.5,0.5,1,58,1493.8,149.38,70.8214311,2,3
2017/4/9 20:59,A359066686994906343,2014,12,13,1,1,0,848,2,0.66666666,0.33333333,0,55,13075.33,186.790428,156.744253,4,5
2017/3/5 19:01,A321250136901034486,2015,9,14,0,1,1,538,2,0.5,0.5,0,54,14695.3,474.041935,809.580259,3,3
2017/3/18 17:24,A980057984644603702,2016,12,23,1,1,1,85,1,1,0,1,61,1695.5,211.9375,222.676003,5,4
2016/11/30 11:50,A992280272777244754,2016,9,2,0,1,1,89,1,0,1,0,60,2888,1444,1633.41666,1,2
2016/10/13 13:15,A122547003759787337,2016,11,1,0,1,0,-19,1,1,0,0,64,233,116.5,72.8319984,3,1
2017/4/18 15:25,A839351943254672223,2016,3,16,0,1,1,398,5,0.5,0.5,0,63,33835.62,412.629512,857.850918,1,5
2016/12/1 19:48,A870816360906794300,2017,1,20,1,1,1,-50,2,1,0,1,26,9495.2,1055.02222,1157.44432,2,4
2017/3/5 14:33,A940611451152580649,2016,6,18,1,1,0,260,2,0.5,0.5,1,40,14882.6,330.724444,666.679590,5,1
2017/4/22 13:42,A136823405816715975,2016,3,14,1,1,0,404,2,1,0,1,41,150037.88,1974.18263,2488.73258,5,4
2017/4/20 19:38,A453233509601874259,2017,8,14,0,1,0,-116,1,0.5,0.5,1,52,10377.36,76.3041176,298.740185,5,1
2017/4/17 19:09,A963823564902187191,2017,7,10,1,1,1,-84,1,1,0,1,35,4855.7,1618.56666,2630.49442,4,3
2017/3/11 22:16,A703305963978295435,2016,4,14,0,1,1,331,2,0.5,0.5,1,42,24953.3,779.790625,1743.70921,2,2
2017/3/7 13:25,A344005186476174249,2016,4,6,1,1,1,335,2,0.66666666,0.33333333,0,58,3800,122.580645,97.0621533,1,4
2017/3/16 18:19,A716047466796092024,2017,7,24,1,1,1,-130,3,0.33333333,0.66666666,1,40,6891.6,246.128571,331.522867,3,1
2017/3/8 12:48,A942241115149427230,2016,7,31,1,1,0,220,2,1,0,0,58,3302.8,173.831578,445.916037,5,1
2017/2/3 23:06,A519198535740127884,2016,9,9,0,1,1,147,2,0.33333333,0.66666666,0,52,9602.08,246.207179,440.848464,2,2
2017/1/6 16:31,A860037443659429274,2017,7,18,0,1,1,-193,5,0.6,0.4,1,28,9488.3,527.127777,918.029774,5,2
2017/3/10 21:24,A583645718437783451,2016,11,24,0,1,1,106,1,1,0,1,40,21930.8,1686.98461,2018.22004,1,5
2016/4/28 15:25,A117104628657618348,2015,12,9,0,1,1,141,4,0.5,0.5,1,45,4897.26,97.9452,84.6323989,3,4
2017/3/3 11:55,A815405143034034279,2017,4,3,1,1,1,-31,2,0.66666666,0.33333333,1,61,9468,556.941176,759.512629,2,4
2017/4/25 8:58,A666932358718831162,2016,9,4,1,1,1,233,2,1,0,1,58,329.6,82.4,20.0917893,5,4
2016/4/28 11:19,A117841191727514008,2015,6,19,1,1,1,314,6,0.33333333,0.66666666,0,27,10371,576.166666,1361.55725,4,5
2016/12/29 16:26,A300071179702217220,2017,6,21,0,1,0,-174,2,0.66666666,0.33333333,1,32,2912,485.333333,631.322949,4,5
2016/7/30 16:39,A497940316610280533,2016,7,22,0,1,0,8,2,0.5,0.5,0,31,17523.2,1347.93846,2151.61736,4,5
2017/4/26 16:41,A343306953316477055,2017,9,26,0,1,1,-153,2,1,0,1,29,32346.49,1078.21633,2098.43133,5,1
2017/3/5 22:04,A182336927774680052,2017,7,12,0,1,1,-129,2,0.5,0.5,1,61,3245.24,180.291111,242.530366,2,4
2017/4/27 10:33,A545918741923212371,2016,6,17,1,1,0,314,2,1,0,0,63,11176,5588,424.264068,3,2
2016/6/24 19:42,A316873405003199860,2017,6,3,1,1,1,-344,6,0.33333333,0.66666666,1,49,15048.28,181.304578,512.625599,3,4
2017/3/8 9:25,A377976954668163827,2016,1,6,1,1,0,427,2,0.66666666,0.33333333,0,45,17783.2,538.884848,578.637761,5,1
2016/11/27 12:38,A858961629917693605,2016,9,1,1,1,0,87,5,0.6,0.4,0,53,2633.6,188.114285,366.336213,1,5
2017/1/1 20:54,A388581649545806427,2015,4,28,0,1,0,614,1,0.5,0.5,0,25,64348.12,684.554468,1490.20016,2,4
