用户ID,认证间隔时间,银行卡数量,储蓄卡比例,信用卡比例,性别,年龄,订单总额,均值,标准差,预留不同电话数量,贷款次数,数据来源标识,审核标识
A600689284231467016,34.0,2,1.0,0.0,1.0,25,383.0,95.75,70.1967473,1.0,0,1,1.0
A2016060815000380836,129.0,2,0.66666666,0.33333333,0.0,0,4956.65,413.054166,593.667753,3.0,1,1,1.0
A2016051715000310527,185.0,3,0.75,0.25,1.0,29,25679.1,503.511764,855.050892,3.0,11,1,1.0
A575933398611136520,58.0,1,1.0,0.0,1.0,29,85.9,28.6333333,4.50592202,2.0,0,1,1.0
A575157317910138888,77.0,1,1.0,0.0,0.0,0,175.4,87.7,17.9605122,1.0,0,1,1.0
A575063570895605768,288.0,3,0.75,0.25,1.0,25,15246.1,762.305,1484.38504,7.0,4,1,1.0
A575465657571741704,890.0,4,0.75,0.25,1.0,23,38141.44,443.505116,1697.43333,12.0,0,1,1.0
A590421753977638920,208.0,1,0.5,0.5,1.0,28,24195.9,1423.28823,2303.67426,1.0,0,1,1.0
A568123503765623048,180.0,1,1.0,0.0,0.0,0,2346.8,106.672727,29.4306963,1.0,6,1,1.0
A610799815093129480,-30.0,1,1.0,0.0,1.0,28,12219.1,436.396428,688.211744,1.0,0,1,1.0
A2016051714000310183,55.0,2,1.0,0.0,0.0,22,22869.0,297.0,712.035505,6.0,26,1,1.0
A612864269582602504,143.0,1,1.0,0.0,0.0,0,1922.05,120.128125,115.833794,5.0,0,1,1.0
A606359988742394120,-28.0,3,0.75,0.25,1.0,24,7348.4,459.275,1532.2474,3.0,0,1,1.0
A600551307735994376,167.0,2,1.0,0.0,0.0,0,10659.4,819.953846,1073.67077,4.0,0,1,1.0
A578230650184667144,282.0,4,0.4,0.6,1.0,36,875.9,72.9916666,105.004661,1.0,0,1,1.0
A570022052518433032,72.0,3,0.33333333,0.66666666,0.0,28,966.12,69.0085714,65.205924,2.0,0,1,1.0
A2016081409000602564,107.0,1,0.5,0.5,1.0,25,8955.76,213.232381,746.996348,6.0,9,1,1.0
A589129755849134344,200.0,1,1.0,0.0,0.0,0,662.0,66.2,27.0556217,1.0,1,1,1.0
A577468930730233864,-96.0,4,0.5,0.5,1.0,27,2.0,1.0,0.0,1.0,0,1,1.0
A604243819508011272,265.0,1,1.0,0.0,0.0,0,91.8,45.9,0.0,1.0,0,1,1.0
A614532638908092424,-107.0,1,1.0,0.0,1.0,23,7034.0,1758.5,2322.7958,2.0,0,1,1.0
A586291181076353032,93.0,2,0.5,0.5,0.0,0,6802.9,309.222727,697.488665,4.0,4,1,1.0
A591154151514181896,312.0,3,0.33333333,0.66666666,1.0,0,16085.8,893.655555,1131.00702,3.0,0,1,1.0
A576080188765376520,271.0,1,1.0,0.0,1.0,23,5097.47,63.718375,60.2248265,2.0,5,1,1.0
A609169036948803848,254.0,1,1.0,0.0,0.0,0,3934.85,126.930645,206.727349,2.0,0,1,1.0
A575385092977856520,-167.0,4,0.5,0.5,0.0,31,10496.0,2624.0,150.0,1.0,0,1,1.0
A591814423195160584,675.0,4,0.4,0.6,1.0,0,12739.44,143.139775,444.640912,7.0,0,1,1.0
A577441680647524360,337.0,4,0.5,0.5,1.0,28,26223.7,1191.98636,2156.98376,1.0,0,1,1.0
A610790940122025992,351.0,2,1.0,0.0,1.0,22,1350.35,192.907142,400.519165,2.0,0,1,1.0
